"","DATE","CHI003","CHI004","CHI005","CHI007","CHI008","CHI009","CHI010","CHI011","CHI013","CHI014","CHI015","CHI018","CHI019","CHI020","CHI021","CHI022","CHI023","CHI024","CHI025","CHI026","CHI027","CHI028","CHI029","CHI030","CHI031","CHI032","CHI033","CHI034","CHI035","CHI036","CHI039","CHI040","CHI041","CHI042","CHI043","CHI044","CHI045","CHI048","CHI049","CHI050","CHI051","CHI055","CHI056","CHI057","CHI058","CHI059","CHI060","CHI061","CHI062","CHI063","CHI064","CHI065","CHI066","CHI067","CHI068","CHI069","CHI070","CHI071","CHI072","CHI073","CHI074","CHI075","CHI076","CHI077","CHI078","CHI079","CHI080","CHI083","CHI086","CHI087","CHI088","CHI089","CHI090","CHI091","CHI092","CHI093","CHI094","CHI095","CHI096","CHI097","CHI098","CHI099","CHI100","CHI101","CHI102","CHI103","CHI104","CHI105","CHI106","CHI107","CHI108","CHI109","CHI110","CHI111","CHI112","CHI113","CHI114","CHI115","CHI116","CHI117","CHI118","CHI119","CHI120","CHI121","CHI122","CHI123","CHI124","CHI125","CHI126","CHI127","CHI128","CHI129","CHI130","CHI131","CHI132","CHI133","CHI134","CHI135","CHI136","CHI137","CHI138","CHI139","CHI140","CHI141","CHI142","CHI143","CHI144","CHI145","CHI146","CHI147","CHI148","CHI149","CHI154","CHI156","CHI157","CHI158","CHI159","CHI160","CHI161","CHI162","CHI163","CHI164","CHI165","CHI166","CHI167","CHI168","CHI169","CHI170","CHI171","CHI172"
"289",2015-04-15,106,35,4,NA,26,70,50,16,52,48,NA,40,30,17,130,NA,1,29,23,NA,NA,2,53,NA,NA,2,NA,NA,5,10,9,19,NA,NA,NA,75,164,NA,22,31,45,9,2,2,84,NA,NA,NA,NA,NA,34,21,19,7,3,16,18,NA,NA,NA,NA,4,28,62,1,65,21,63,3,6,3,NA,4,53,7,NA,3,77,3,4,1,4,55,9,57,NA,5,3,3,NA,NA,NA,3,NA,32,15,19,14,22,3,18,38,103,37,25,7,16,25,5,NA,NA,NA,1,NA,7,10,11,3,5,2,3,3,5,13,29,NA,NA,NA,73,94,19,213,6,NA,NA,NA,NA,24,NA,17,30,13,NA,4,3,17,23,3,16,35
"290",2015-04-16,113,35,10,55,23,58,55,9,26,76,7,37,31,22,151,19,31,32,19,NA,NA,102,63,38,70,47,12,21,4,13,10,11,73,75,24,147,111,28,14,26,43,10,1,NA,75,15,5,11,13,NA,32,40,12,12,11,14,17,36,12,NA,NA,3,19,6,1,72,22,77,3,NA,NA,NA,4,54,6,NA,1,128,NA,1,NA,NA,NA,11,46,3,3,6,6,44,81,28,NA,NA,NA,NA,NA,NA,NA,4,13,38,133,34,16,3,12,29,3,76,43,16,3,NA,14,7,NA,NA,NA,NA,2,3,1,18,31,19,NA,27,NA,97,NA,207,3,25,NA,55,NA,NA,NA,NA,NA,33,NA,1,3,36,24,5,NA,NA
"291",2015-04-17,126,37,9,89,34,95,77,16,36,79,19,36,40,9,154,14,41,36,17,NA,NA,176,49,22,148,53,33,30,8,8,20,15,62,72,25,141,12,47,15,39,37,10,4,4,100,22,5,9,23,49,53,37,11,8,7,18,15,41,9,3,6,2,14,9,4,26,24,66,4,24,19,3,2,84,9,NA,2,72,1,3,7,2,54,16,50,3,NA,2,5,60,104,22,4,3,56,25,53,50,28,NA,26,36,52,17,27,9,20,15,NA,68,33,22,1,NA,10,3,9,8,9,3,12,6,4,14,46,22,NA,56,86,90,57,220,3,29,NA,65,NA,46,NA,49,66,17,3,4,6,37,21,3,12,50
"292",2015-04-18,151,50,11,126,37,72,77,19,60,82,24,52,50,29,186,NA,NA,39,28,NA,NA,NA,97,NA,NA,NA,NA,NA,5,21,17,10,NA,NA,NA,NA,8,NA,18,44,44,10,1,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,25,NA,NA,NA,NA,1,21,13,5,106,19,65,4,NA,NA,NA,3,79,4,NA,4,97,1,2,NA,NA,NA,22,38,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,37,157,47,27,15,22,17,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,17,NA,3,11,25,NA,NA,NA,NA,77,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,20,29,14,NA,NA
"293",2015-04-19,170,42,1,74,11,65,63,9,54,53,21,30,19,25,134,NA,NA,45,22,NA,NA,NA,52,NA,NA,NA,NA,NA,9,25,18,11,NA,NA,NA,NA,3,NA,14,32,22,10,2,2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,21,24,NA,NA,NA,NA,2,12,76,4,64,24,51,8,NA,NA,NA,2,64,13,NA,1,83,2,2,NA,NA,NA,9,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,49,97,23,10,14,12,14,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,22,NA,3,11,27,NA,NA,NA,NA,105,NA,277,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,19,9,NA,NA
"294",2015-04-20,114,28,13,79,27,72,52,22,21,63,22,32,39,20,145,15,25,40,20,NA,NA,82,57,38,86,57,34,19,3,11,20,9,30,21,11,43,116,25,18,36,25,7,NA,NA,56,15,2,7,7,23,22,21,13,8,13,12,6,31,16,10,10,2,9,51,1,44,13,60,6,10,14,3,6,34,7,20,2,99,1,NA,1,2,48,13,47,1,NA,1,NA,54,45,19,3,1,39,8,30,15,12,3,16,26,102,44,19,9,19,22,3,25,27,11,1,NA,8,1,8,10,5,2,9,6,2,4,36,58,NA,25,66,97,16,191,2,19,NA,27,NA,37,NA,27,23,12,NA,1,5,32,17,9,4,19
"295",2015-04-21,107,55,6,88,20,82,52,13,33,61,17,38,49,6,164,19,14,44,13,NA,NA,103,76,46,103,43,38,22,6,9,16,9,38,22,15,62,189,27,22,46,41,13,NA,2,73,22,1,5,15,29,26,35,7,9,9,16,11,29,12,18,11,2,15,28,1,81,15,59,2,18,18,9,2,43,9,29,1,127,3,1,4,2,62,11,41,1,2,2,1,47,43,19,6,NA,36,13,41,22,10,4,14,25,109,34,29,9,23,16,3,52,31,17,5,NA,6,3,12,13,6,2,17,2,2,9,24,94,NA,33,90,108,26,189,3,18,NA,39,NA,42,NA,37,38,5,NA,1,1,46,26,7,16,41
"296",2015-04-22,103,23,23,100,33,69,43,18,37,49,22,25,34,20,117,17,20,37,16,NA,NA,66,72,33,69,36,4,28,2,13,16,6,31,19,11,68,130,21,23,25,50,7,NA,3,53,11,8,2,12,35,11,23,15,8,15,11,12,24,7,8,16,5,11,22,2,49,20,60,4,13,10,3,6,50,6,37,2,64,3,1,1,2,48,11,43,1,1,2,5,50,49,21,2,NA,37,10,29,30,17,2,16,31,130,36,23,6,25,19,3,54,20,14,3,NA,4,NA,10,16,7,1,6,1,4,8,24,52,NA,24,72,120,30,178,1,31,NA,31,NA,38,NA,24,35,8,2,2,NA,22,19,12,9,26
"297",2015-04-23,124,43,9,105,29,104,56,16,29,56,24,38,40,18,124,27,25,32,23,66,8,78,74,18,75,35,13,35,8,7,11,8,30,43,14,97,169,21,13,20,33,7,1,9,106,15,8,5,22,43,33,45,17,6,11,21,19,30,10,12,17,1,15,36,2,82,31,59,1,14,18,8,3,49,5,31,3,62,7,1,1,4,50,9,32,6,3,4,7,52,49,22,7,1,50,16,35,33,18,3,14,38,116,44,26,12,16,26,4,68,45,13,3,1,11,NA,13,20,2,NA,7,3,4,19,31,70,NA,28,101,112,39,249,6,16,NA,55,NA,53,NA,25,40,17,1,4,2,56,21,10,18,49
"298",2015-04-24,141,43,18,92,26,61,54,16,51,59,21,29,26,18,143,17,20,19,21,117,25,93,71,25,137,52,8,24,3,15,14,13,33,34,31,74,195,48,10,46,40,11,1,6,64,20,NA,1,14,41,18,32,8,19,17,17,13,8,11,10,16,2,11,34,4,64,19,68,2,18,14,1,2,37,6,19,1,55,NA,3,2,4,46,14,42,6,3,6,7,49,67,28,6,1,39,13,27,25,23,3,12,35,130,45,25,5,15,21,2,63,40,14,NA,1,4,1,9,9,7,1,10,1,4,14,29,79,NA,29,80,107,30,250,3,26,NA,34,NA,31,NA,41,43,12,NA,NA,1,36,14,10,10,38
"299",2015-04-25,172,44,7,92,40,69,71,18,86,73,26,41,24,17,165,NA,NA,40,20,NA,NA,NA,74,NA,NA,NA,NA,NA,10,10,8,14,NA,NA,NA,NA,179,NA,14,29,34,10,NA,1,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,20,NA,NA,NA,NA,3,22,48,2,99,34,63,1,NA,NA,NA,5,63,13,28,3,78,3,1,NA,NA,NA,8,61,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,39,116,24,29,14,24,15,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12,NA,2,6,23,NA,NA,NA,NA,83,NA,240,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,13,8,NA,NA
"300",2015-04-26,225,43,9,129,24,86,89,27,95,69,23,51,49,28,166,NA,NA,51,37,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,31,16,15,NA,NA,NA,NA,215,NA,16,61,59,12,NA,5,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,35,34,NA,NA,NA,NA,3,27,34,3,NA,49,65,8,NA,NA,NA,5,97,29,53,NA,102,2,3,NA,NA,NA,27,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,54,166,37,17,16,14,17,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,28,NA,4,17,39,NA,NA,NA,NA,150,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,27,31,11,NA,NA
"301",2015-04-27,130,46,10,95,24,63,74,23,43,54,20,37,34,29,132,13,22,35,36,116,54,123,63,33,67,41,21,15,3,16,11,12,42,38,15,111,177,33,7,30,51,8,3,4,66,18,5,7,20,31,40,46,3,8,14,21,21,26,18,6,15,5,10,22,1,54,19,55,4,20,14,2,5,56,6,39,NA,93,2,1,1,4,58,15,23,3,NA,3,2,22,45,18,2,NA,34,47,26,7,14,3,12,37,151,24,20,10,15,21,5,34,47,23,1,NA,13,4,7,32,2,NA,5,4,4,10,35,71,NA,28,81,90,51,248,1,19,NA,50,NA,51,NA,27,49,3,1,5,4,42,17,8,6,27
"302",2015-04-28,127,45,10,105,19,80,59,11,29,83,15,46,39,19,110,10,9,35,19,82,64,168,71,35,107,44,26,34,1,6,17,10,40,44,14,98,175,25,18,24,20,7,1,4,67,27,4,2,8,36,40,41,5,13,9,22,19,38,12,13,17,1,10,93,4,62,35,78,3,24,16,1,7,64,9,36,5,93,1,NA,3,2,49,8,30,NA,7,3,3,39,66,22,2,NA,34,22,32,30,16,4,13,32,127,29,22,10,21,17,5,74,52,11,2,NA,7,2,13,12,NA,3,13,5,1,9,26,64,NA,30,85,111,49,241,1,17,NA,57,NA,44,NA,41,40,13,2,1,2,44,18,13,14,44
"303",2015-04-29,126,27,15,74,35,65,63,15,51,68,9,41,37,19,122,10,26,36,15,104,82,3,62,19,116,32,12,23,2,13,17,15,50,45,18,118,173,36,22,35,41,2,1,1,69,19,7,6,25,42,26,44,13,12,6,23,24,30,15,13,21,NA,9,119,3,51,30,78,2,32,13,7,2,62,9,28,2,84,NA,3,8,7,51,8,36,3,NA,1,7,54,79,42,9,2,37,18,23,43,16,3,13,31,139,24,14,3,15,22,4,78,48,NA,1,NA,9,4,11,14,7,2,8,4,3,3,33,107,NA,30,91,100,45,239,3,22,NA,35,NA,11,NA,45,38,10,1,3,3,47,30,13,12,24
"304",2015-04-30,142,34,11,87,24,74,66,25,40,63,21,53,37,22,136,15,32,31,24,57,38,84,92,25,105,29,7,26,4,16,13,16,36,28,20,105,185,26,22,33,38,4,2,4,65,16,7,3,12,40,20,10,7,9,4,17,19,28,11,12,19,NA,15,107,2,65,26,70,2,19,15,4,5,57,8,32,1,113,2,2,1,NA,47,14,52,4,5,2,NA,14,51,28,6,3,29,11,31,55,29,4,16,44,133,33,22,8,20,28,3,59,37,10,5,1,8,2,13,15,3,2,4,5,NA,NA,45,29,NA,34,106,106,29,239,2,18,NA,36,NA,42,NA,46,41,14,NA,1,4,34,17,5,7,45
"305",2015-05-01,121,30,11,115,26,89,72,13,52,85,20,43,47,19,136,17,31,25,21,126,195,268,70,14,118,47,16,41,7,15,23,14,41,49,17,103,201,45,14,44,30,11,3,6,96,20,2,11,27,45,39,55,7,15,6,NA,12,26,10,12,23,2,14,91,4,82,38,82,NA,22,18,6,5,61,4,35,5,55,NA,2,NA,6,68,15,57,8,4,4,4,57,93,11,1,3,36,18,36,66,27,2,16,37,125,21,19,2,16,35,3,58,58,19,1,NA,14,2,14,9,8,NA,5,5,NA,NA,29,69,NA,27,121,80,51,252,4,20,NA,43,NA,36,NA,35,62,17,2,2,2,26,13,5,5,33
"306",2015-05-02,277,62,15,124,34,91,88,24,87,97,30,59,73,30,217,NA,NA,52,16,NA,NA,NA,134,NA,NA,NA,NA,NA,6,25,21,19,NA,NA,NA,NA,70,NA,15,49,60,7,NA,3,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,22,NA,NA,NA,NA,4,19,134,2,91,25,71,1,NA,NA,NA,4,85,12,56,3,53,2,NA,NA,NA,NA,18,46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,68,180,NA,24,14,19,21,7,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,21,NA,5,NA,35,NA,NA,NA,NA,69,NA,382,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,19,37,15,NA,NA
"307",2015-05-03,183,41,6,95,18,59,68,12,53,61,18,34,25,21,191,NA,NA,56,21,NA,NA,NA,57,NA,NA,NA,NA,NA,7,16,21,13,NA,NA,NA,NA,201,NA,15,50,35,12,2,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17,23,NA,NA,NA,NA,4,25,108,6,90,25,63,NA,NA,NA,NA,1,81,19,31,4,51,4,1,NA,NA,NA,18,41,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,42,166,NA,11,12,11,9,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,19,NA,9,NA,36,NA,NA,NA,NA,141,NA,295,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,31,30,13,NA,NA
"308",2015-05-04,153,40,9,67,14,79,55,18,43,67,17,41,36,14,131,9,16,34,17,93,78,117,83,30,94,34,30,20,3,15,16,10,55,44,23,81,162,20,21,29,27,6,2,NA,46,23,4,7,25,29,20,35,18,18,9,18,8,47,11,14,19,2,16,19,5,64,28,53,NA,16,17,2,5,50,4,22,3,79,1,NA,4,3,30,8,40,5,4,2,9,58,66,20,2,4,95,24,28,57,34,1,6,23,154,27,24,6,16,17,3,49,40,15,2,NA,8,4,14,21,7,1,9,6,5,4,29,29,NA,32,72,98,37,251,3,12,NA,24,NA,23,NA,50,35,13,NA,1,NA,30,20,4,9,39
"309",2015-05-05,83,39,6,73,13,54,60,20,37,48,12,26,34,12,107,5,21,22,11,86,10,73,84,39,80,25,9,22,1,4,14,9,19,15,10,55,156,23,24,15,29,4,NA,2,59,7,5,5,6,40,31,21,8,12,9,16,13,34,9,14,10,3,19,19,3,51,24,44,NA,7,9,1,5,39,2,19,2,104,1,1,6,1,40,1,37,6,2,3,1,33,51,21,2,1,27,11,21,23,18,NA,9,28,105,25,12,7,10,18,2,33,23,11,1,NA,1,10,15,20,2,NA,6,2,4,5,29,60,NA,22,52,77,32,219,3,23,NA,26,NA,31,NA,22,23,8,NA,2,4,20,17,4,5,21
"310",2015-05-06,51,37,12,100,22,63,57,13,36,68,17,34,41,18,124,11,16,46,23,66,20,137,88,52,91,50,12,23,11,13,19,16,33,32,22,94,153,24,16,41,34,7,NA,8,57,18,8,6,20,14,40,42,9,17,14,19,15,32,5,10,11,2,17,16,3,76,20,54,NA,16,11,3,5,42,6,23,4,86,NA,NA,NA,2,51,NA,33,7,2,1,4,43,72,30,10,3,70,12,31,65,28,1,15,31,128,34,19,6,20,17,3,81,41,9,4,1,7,3,6,10,5,3,2,2,1,16,30,67,NA,21,91,103,51,215,2,21,NA,37,NA,39,NA,33,29,19,NA,2,7,23,13,7,11,46
"311",2015-05-07,124,61,12,97,23,76,74,24,56,71,14,43,37,17,138,15,24,33,6,125,44,126,74,51,152,54,6,34,4,11,37,17,47,56,20,93,183,29,9,38,51,11,3,2,100,24,3,3,32,NA,23,36,18,7,9,12,16,54,8,14,17,3,16,14,1,83,39,56,NA,16,13,1,5,60,11,26,3,96,2,NA,5,7,70,4,52,5,3,2,3,41,61,26,9,3,58,13,28,67,32,1,15,38,130,44,19,10,26,15,2,62,45,11,1,NA,10,4,21,14,3,1,6,2,4,6,25,63,NA,40,123,103,50,258,1,21,NA,56,NA,39,NA,37,45,22,NA,2,14,36,25,5,5,27
"312",2015-05-08,151,33,11,95,20,65,49,9,19,69,9,46,41,14,138,15,19,18,9,86,16,192,51,34,144,36,66,23,5,6,23,12,42,38,36,101,162,32,13,28,35,8,NA,2,83,12,2,9,24,2,28,16,7,10,8,19,9,37,13,15,15,4,10,12,3,64,27,47,NA,16,17,4,NA,62,5,15,2,71,3,NA,1,3,35,11,30,10,4,4,9,61,64,15,9,1,50,9,26,41,15,2,10,43,120,37,16,3,15,19,4,71,52,12,1,1,14,6,17,9,NA,NA,6,1,1,12,30,60,NA,37,71,79,48,187,3,12,NA,61,NA,26,NA,39,39,21,NA,NA,1,45,15,3,12,29
"313",2015-05-09,204,58,8,90,33,101,96,21,44,85,25,67,32,28,204,NA,NA,44,18,NA,NA,NA,120,NA,NA,NA,NA,NA,6,17,13,23,NA,NA,NA,NA,243,NA,15,37,37,12,2,3,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,13,23,NA,NA,NA,NA,2,20,100,8,89,31,60,NA,NA,NA,NA,7,50,9,33,1,92,4,2,NA,NA,NA,15,48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,58,168,47,23,11,30,24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,14,NA,3,10,30,NA,NA,NA,NA,65,NA,332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,10,NA,NA
"314",2015-05-10,186,48,11,121,31,110,93,17,89,71,26,46,38,31,194,NA,NA,42,32,NA,NA,NA,102,NA,NA,NA,NA,NA,6,20,26,16,NA,NA,NA,NA,213,NA,9,42,44,9,6,8,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,29,29,NA,NA,NA,NA,2,23,90,11,65,39,36,2,NA,NA,NA,4,74,22,41,1,111,2,1,NA,NA,NA,21,68,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,27,67,181,31,27,16,50,13,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22,NA,6,7,26,NA,NA,NA,NA,90,NA,289,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,41,17,NA,NA
"315",2015-05-11,76,46,13,58,17,66,51,17,20,49,9,42,31,13,117,9,16,33,14,75,37,73,55,39,75,49,32,13,3,9,21,10,14,18,19,50,150,14,17,22,15,6,3,4,66,15,1,4,13,13,29,36,8,17,5,15,17,7,6,4,10,1,14,47,NA,58,25,54,NA,15,8,1,4,35,12,24,1,64,3,4,NA,1,31,8,40,6,2,NA,2,38,56,23,7,3,25,15,21,39,18,4,15,21,99,31,12,4,13,7,3,47,36,7,NA,1,8,2,12,8,4,2,7,1,3,10,31,39,NA,26,58,85,20,195,1,16,NA,51,NA,33,NA,30,22,6,1,1,1,34,13,8,3,12
"316",2015-05-12,133,29,12,76,16,73,57,15,34,70,15,40,37,12,143,6,30,38,14,44,67,97,74,39,91,46,44,25,10,16,23,16,36,39,23,44,202,27,20,32,36,4,NA,2,69,14,2,4,9,27,36,37,7,8,6,14,21,30,10,10,19,2,18,62,2,58,27,57,NA,20,10,7,4,51,4,22,2,77,4,4,3,1,36,19,32,6,6,2,8,40,45,21,1,1,69,10,20,45,31,1,8,49,128,29,17,11,13,20,4,67,38,13,3,NA,4,4,20,12,1,NA,10,6,4,14,34,61,NA,39,78,93,30,211,4,28,NA,39,NA,42,NA,28,33,8,1,2,4,36,20,11,7,29
"317",2015-05-13,155,52,9,143,21,73,71,28,22,59,15,27,38,28,122,17,29,34,27,48,103,6,75,40,110,37,34,32,5,12,13,19,50,34,17,105,183,42,14,38,42,7,2,2,105,16,6,4,17,26,36,37,11,8,8,23,16,22,6,12,25,NA,13,71,4,55,25,85,2,16,9,9,5,50,11,36,2,82,1,1,6,1,47,20,38,4,5,5,7,35,69,22,11,2,38,19,38,57,31,3,13,53,110,39,20,9,21,23,7,77,78,40,4,1,5,4,18,16,NA,3,9,1,2,7,18,45,NA,30,78,69,66,258,3,20,NA,60,NA,38,NA,29,25,6,1,1,1,41,29,9,15,20
"318",2015-05-14,144,43,14,104,19,80,54,11,34,49,17,36,33,15,117,18,26,25,13,86,41,92,54,48,98,50,65,33,8,9,13,19,40,40,18,94,168,30,11,40,42,8,3,4,84,26,7,4,22,33,34,29,7,14,10,16,7,34,10,13,22,1,18,60,2,43,35,55,NA,21,12,4,7,14,8,19,3,57,6,NA,5,3,27,18,35,2,9,6,5,46,66,22,6,1,47,17,23,59,14,6,16,54,103,38,16,7,11,23,9,50,56,14,1,1,6,3,22,9,4,4,7,2,7,17,45,33,NA,28,82,80,44,249,6,22,NA,42,NA,43,NA,28,42,13,NA,2,6,33,20,6,7,34
"319",2015-05-15,120,40,8,116,22,102,60,15,42,66,12,35,41,18,143,24,24,29,24,77,41,7,86,46,136,43,29,28,9,12,20,17,51,42,40,131,208,59,13,26,45,12,1,8,80,27,3,1,18,43,36,35,16,14,14,15,7,32,16,13,23,NA,10,70,6,75,25,55,NA,16,19,2,3,31,10,29,4,52,NA,NA,3,3,32,19,42,5,3,2,2,61,65,26,6,4,45,8,27,50,20,NA,23,63,129,44,18,12,9,21,4,65,55,9,2,NA,12,3,26,13,2,3,18,3,5,16,40,68,NA,33,121,80,46,330,2,22,NA,30,NA,38,NA,54,55,28,1,3,4,57,26,8,3,18
"320",2015-05-16,151,41,13,112,46,109,98,20,49,84,20,42,56,30,154,NA,NA,46,35,NA,NA,NA,105,NA,NA,NA,NA,NA,6,23,12,28,NA,NA,NA,NA,215,NA,6,56,66,13,1,2,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,17,22,NA,NA,NA,NA,1,30,137,4,92,34,63,NA,NA,NA,NA,5,97,12,28,1,86,6,NA,NA,NA,NA,29,55,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,60,189,35,27,17,25,24,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,9,NA,5,18,28,NA,NA,NA,NA,95,NA,458,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,33,28,12,NA,NA
"321",2015-05-17,166,59,14,118,18,74,84,18,43,72,23,35,32,21,121,NA,NA,54,17,NA,NA,NA,75,NA,NA,NA,NA,NA,10,31,17,19,NA,NA,NA,NA,184,NA,5,61,56,10,1,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,19,10,NA,NA,NA,NA,5,23,161,6,72,34,55,NA,NA,NA,NA,8,74,13,42,5,96,8,NA,NA,NA,NA,30,33,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,63,149,39,14,16,49,20,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12,NA,5,8,35,NA,NA,NA,NA,124,NA,384,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,42,26,12,NA,NA
"322",2015-05-18,131,61,14,148,16,80,48,18,27,74,18,39,28,14,133,21,29,38,18,64,58,81,65,42,94,31,46,14,4,12,29,9,50,43,18,108,160,43,2,46,54,7,1,3,70,20,3,5,22,31,26,36,11,14,7,23,18,26,11,22,15,2,10,64,4,59,30,72,NA,18,9,4,1,34,10,18,3,116,4,1,6,7,27,13,41,3,4,2,5,39,82,36,3,5,51,13,30,55,26,4,13,48,133,38,13,6,12,18,9,70,29,23,4,NA,9,5,14,12,3,4,9,6,3,10,38,63,NA,34,118,69,36,287,1,26,NA,39,NA,36,NA,36,48,17,2,NA,1,37,24,9,6,18
"323",2015-05-19,107,40,13,99,11,66,54,20,43,51,15,26,26,14,81,18,22,30,28,11,54,54,57,31,81,34,38,23,3,7,16,14,30,31,20,91,156,18,11,35,60,9,NA,2,57,23,4,4,18,28,26,35,14,NA,8,16,8,22,17,6,13,1,11,62,2,47,14,52,NA,24,13,11,3,40,5,24,6,93,4,1,2,1,24,13,29,2,2,1,1,42,72,30,1,3,28,19,24,54,21,6,9,56,132,24,23,4,12,10,9,55,29,11,5,1,7,3,17,3,1,5,11,1,4,15,24,71,NA,16,63,61,44,262,4,21,NA,22,NA,43,NA,26,47,23,NA,4,4,44,33,8,7,30
"324",2015-05-20,112,26,10,92,12,61,50,18,37,66,8,36,32,18,83,12,25,26,18,NA,60,66,60,40,26,33,61,10,5,11,10,13,33,30,13,88,142,14,21,29,49,4,1,3,69,8,4,5,17,35,39,26,11,17,15,11,14,21,9,8,18,2,15,57,1,35,16,60,NA,16,4,2,2,34,10,31,2,94,2,3,2,2,13,10,44,5,5,1,4,5,38,14,5,4,26,9,26,44,22,4,9,32,106,30,12,4,6,15,5,70,13,9,2,NA,5,1,17,5,5,5,14,1,3,13,28,67,NA,17,101,74,36,292,3,22,NA,41,NA,52,NA,26,52,13,NA,4,1,27,16,10,12,35
"325",2015-05-21,130,48,7,89,9,99,77,16,44,64,15,33,46,20,112,12,35,45,18,NA,66,80,78,56,117,30,49,19,4,11,23,20,35,41,14,111,202,36,14,42,63,5,NA,5,79,20,6,3,19,25,48,64,9,10,13,16,16,34,11,10,19,3,18,71,4,55,28,54,NA,17,12,3,6,45,6,31,3,119,3,2,3,6,50,16,45,6,7,1,1,32,52,23,12,2,68,12,17,83,37,2,13,69,160,46,25,9,11,18,2,79,55,16,5,NA,13,7,21,6,5,3,9,6,2,15,26,62,NA,29,129,89,45,272,1,28,NA,40,NA,40,NA,38,69,26,NA,3,3,54,28,8,14,38
"326",2015-05-22,128,31,16,95,14,76,65,28,43,99,16,52,37,35,153,14,26,29,30,NA,61,85,37,32,71,47,43,21,8,6,17,16,36,47,22,NA,226,45,11,46,56,4,1,5,77,19,5,2,23,28,52,36,5,7,7,30,15,20,6,6,15,3,18,101,4,53,26,44,NA,24,19,11,7,44,6,20,2,102,1,NA,5,6,57,24,35,9,10,4,8,40,88,29,5,NA,38,5,34,50,19,2,18,66,129,38,17,9,20,22,7,71,40,10,4,NA,2,NA,16,5,2,2,7,NA,2,13,25,57,NA,27,114,62,49,379,4,32,NA,28,NA,50,NA,35,66,NA,1,NA,NA,40,19,10,15,36
