"","DATE","CHI003","CHI004","CHI005","CHI007","CHI008","CHI009","CHI010","CHI011","CHI013","CHI014","CHI015","CHI018","CHI019","CHI020","CHI021","CHI022","CHI023","CHI024","CHI025","CHI026","CHI027","CHI028","CHI029","CHI030","CHI031","CHI032","CHI033","CHI034","CHI035","CHI036","CHI039","CHI040","CHI041","CHI042","CHI043","CHI044","CHI045","CHI048","CHI049","CHI050","CHI051","CHI055","CHI056","CHI057","CHI058","CHI059","CHI060","CHI061","CHI062","CHI063","CHI064","CHI065","CHI066","CHI067","CHI068","CHI069","CHI070","CHI071","CHI072","CHI073","CHI074","CHI075","CHI076","CHI077","CHI078","CHI079","CHI080","CHI083","CHI086","CHI087","CHI088","CHI089","CHI090","CHI091","CHI092","CHI093","CHI094","CHI095","CHI096","CHI097","CHI098","CHI099","CHI100","CHI101","CHI102","CHI103","CHI104","CHI105","CHI106","CHI107","CHI108","CHI109","CHI110","CHI111","CHI112","CHI113","CHI114","CHI115","CHI116","CHI117","CHI118","CHI119","CHI120","CHI121","CHI122","CHI123","CHI124","CHI125","CHI126","CHI127","CHI128","CHI129","CHI130","CHI131","CHI132","CHI133","CHI134","CHI135","CHI136","CHI137","CHI138","CHI139","CHI140","CHI141","CHI142","CHI143","CHI144","CHI145","CHI146","CHI147","CHI148","CHI149","CHI154","CHI156","CHI157","CHI158","CHI159","CHI160","CHI161","CHI162","CHI163","CHI164","CHI165","CHI166","CHI167","CHI168","CHI169","CHI170","CHI171","CHI172"
"11",2014-07-11,115,50,52,44,21,67,85,24,52,67,22,62,41,12,179,NA,NA,NA,26,NA,NA,NA,239,62,228,67,NA,NA,NA,8,20,24,95,59,52,NA,190,NA,30,67,60,16,NA,1,118,NA,NA,NA,NA,83,75,55,27,16,12,1,27,96,26,25,72,34,47,16,5,113,67,69,14,8,17,7,28,47,6,62,10,65,NA,1,NA,NA,NA,26,38,4,NA,NA,NA,68,154,70,NA,NA,NA,NA,NA,NA,NA,8,8,35,201,103,34,17,19,51,1,NA,NA,NA,8,NA,NA,NA,NA,NA,6,5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2014-07-12,132,49,33,32,11,35,83,15,37,35,20,17,34,10,142,NA,NA,70,31,NA,NA,NA,177,NA,NA,NA,NA,NA,NA,9,19,19,NA,NA,NA,NA,187,NA,22,62,51,28,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,7,24,NA,NA,NA,NA,32,45,23,1,128,46,56,3,NA,NA,NA,13,63,4,60,16,84,NA,NA,NA,NA,NA,7,37,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,23,160,69,20,14,7,31,2,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2014-07-13,139,85,39,63,18,47,100,22,52,74,23,59,41,13,177,NA,NA,112,39,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,10,20,15,NA,NA,NA,NA,249,NA,22,133,80,33,NA,7,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,20,40,NA,NA,NA,NA,49,73,50,7,144,98,92,15,NA,NA,NA,26,91,17,124,40,120,1,2,NA,NA,NA,21,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29,27,198,75,22,34,15,36,2,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2014-07-14,96,56,74,31,28,40,68,19,59,66,19,50,42,9,139,NA,NA,35,23,13,58,160,208,54,215,63,16,17,NA,3,18,23,74,70,56,NA,173,50,19,55,52,25,NA,2,80,NA,NA,NA,NA,56,71,58,43,18,12,21,33,115,37,32,77,16,38,14,4,100,27,46,9,1,9,4,28,63,8,51,22,121,NA,NA,1,8,46,15,19,5,4,8,11,64,185,52,NA,NA,NA,NA,NA,NA,NA,4,12,25,138,102,26,12,17,40,NA,NA,NA,NA,3,NA,22,NA,NA,NA,14,10,43,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2014-07-15,101,56,65,36,10,40,81,11,51,64,28,36,55,10,130,NA,NA,36,32,24,62,199,197,73,222,70,29,2,NA,5,20,17,84,66,35,NA,146,73,20,88,65,20,NA,5,91,NA,NA,NA,NA,79,45,42,40,12,11,21,22,103,34,46,72,20,32,19,2,102,40,65,4,3,13,2,27,52,7,52,27,132,3,NA,4,11,39,15,29,2,8,11,14,66,165,62,NA,NA,NA,NA,NA,NA,NA,7,11,39,193,103,14,17,12,42,3,NA,NA,NA,10,NA,24,NA,NA,NA,5,5,36,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2014-07-16,83,55,45,55,16,56,56,18,50,52,24,50,55,11,161,NA,NA,27,21,13,60,203,231,62,242,72,28,17,NA,8,13,20,74,93,55,NA,177,50,26,57,68,36,2,1,109,NA,NA,NA,NA,89,67,49,19,13,13,17,30,126,29,28,82,15,35,23,1,109,61,64,9,4,14,12,17,45,9,52,20,113,NA,1,2,17,47,13,36,11,6,2,8,88,199,76,NA,NA,NA,NA,NA,NA,NA,3,15,42,171,85,26,18,16,47,1,NA,NA,NA,10,NA,16,NA,NA,NA,11,7,49,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2014-07-17,88,72,33,51,16,51,69,17,45,56,22,24,31,6,153,NA,NA,16,31,16,47,162,229,72,203,75,23,NA,NA,1,12,23,60,65,43,NA,187,37,25,58,55,23,2,3,97,NA,NA,NA,NA,82,98,79,36,13,3,31,27,86,31,40,79,16,28,22,1,116,98,75,11,9,20,10,25,43,9,49,24,139,NA,1,7,9,39,16,32,3,NA,3,8,64,190,70,NA,NA,NA,NA,NA,NA,NA,6,14,86,167,99,24,23,8,51,1,NA,NA,NA,7,NA,13,NA,NA,NA,11,4,44,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2014-07-18,119,76,46,40,28,57,75,32,57,58,33,29,3,1,183,NA,NA,52,23,NA,NA,NA,224,62,182,72,NA,NA,NA,6,24,34,86,54,52,NA,178,NA,19,66,59,34,NA,2,111,NA,NA,NA,NA,90,63,39,36,26,18,18,24,81,26,46,85,10,16,6,4,131,78,63,7,9,20,4,30,50,4,43,25,136,1,NA,NA,NA,NA,14,38,4,NA,NA,NA,75,183,97,NA,NA,NA,NA,NA,NA,NA,9,10,107,178,101,34,19,3,50,1,NA,NA,NA,11,NA,NA,NA,NA,NA,15,5,53,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2014-07-19,121,81,32,50,38,62,96,20,84,116,22,77,34,NA,196,NA,NA,92,20,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,10,17,23,NA,NA,NA,NA,232,NA,18,67,66,37,3,4,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,13,35,NA,NA,NA,NA,8,26,24,5,130,111,62,9,NA,NA,NA,28,70,13,57,28,162,5,NA,NA,NA,NA,18,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,15,106,207,112,28,25,9,69,1,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2014-07-20,119,63,31,50,21,48,83,10,59,101,32,81,32,NA,147,NA,NA,89,23,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,18,14,20,NA,NA,NA,NA,177,NA,15,113,63,44,3,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,28,14,NA,NA,NA,NA,6,9,28,7,120,78,59,19,NA,NA,NA,29,85,21,98,49,163,1,1,NA,NA,NA,28,38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,23,90,224,78,26,31,7,29,1,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
